"title","date","body"
"tennis, nadal, pull, brisbane, thigh, problem","January 2, 2019","rafa, nadal, pull, week, brisbane, due, minor, thigh, strain, spaniard, hopeful, shake, problem, australian, later, monthnadal, endure, season, saw, contest, due, hip, knee, abdomen, ankle, injury, world, number, decision, skip, still, want, play, play, important, risk, chance, play, melbourne, nadal, due, face, frenchman, jowilfried, tsonga, second, small, thing, become, much, big, compete, intensity, muscle, get, bad, feel, well, day, ago, risk, damage, body, play, herethe, yearold, play, retire, juan, martin, del, potro, semifinal, last, underwent, ankle, surgery, month, laterhe, lose, threeset, exhibition, match, south, africas, kevin, anderson, abu, dhabi, last, indicated, fighting, fit, ahead, brisbane, mri, scan, reveal, otherwisei, ready, understand, kind, stuff, happen, youre, come, back, injury, accept, keep, go, nadal, withdrawn, tournament, last, well, addedlucky, loser, taro, daniel, replace, nadal, second, season, nadal, manage, win, title, last, include, th, french, title, take, grand, slam, tally, australian, begin, melbourne, report, shrivathsa, sridhar, bengaluru, edit, sudipto, ganguly, christian"
"rio, tinto, mongolia, sign, power, deal, oyu, tolgoi, copper, mine","January 2, 2019","rio, tinto, mongolia, sign, deal, supply, power, miner, giant, copper, mine, extension, oyu, tolgoi, mid, side, framework, agreement, mark, step, forward, protract, disputethe, oyu, tolgoi, project, central, rio, tintos, push, diversify, portfolio, away, iron, ore, faced, series, challenge, mongolias, fragile, government, wrangle, maximise, benefit, production, expansion, locate, southern, border, schedule, early, next, decade, create, world, big, copper, megawatt, plant, close, tavan, tolgoi, coalfield, supply, mine, start, plant, expect, mid, slightly, later, date, moot, government, cancel, early, power, agreement, government, mongolia, own, percent, oyu, tolgoi, remainder, hold, turquoise, hill, resource, turn, percent, own, rio, tintoin, joint, statement, oyu, tolgoi, mongolian, government, agreement, step, towards, enhance, efficiency, tavan, tolgoi, coal, mine, supply, wider, region, domestic, powerthe, statement, partner, would, also, consider, use, renewable, poweroyu, tolgoi, would, majority, owner, power, plant, funding, possibly, include, third, party, debt, statement, give, welcome, deal, deadline, look, last, major, hurdle, production, munkhdul, badral, bontoi, chief, executive, market, group, cover, mongolia, saida, mongolian, government, spokesman, agreement, first, step, retain, country, estimate, oyu, tolgoi, currently, pay, figure, set, rise, extension, come, onlinerio, tinto, enter, agreement, design, power, station, supply, oyu, tolgoion, spokesman, decline, comment, status, tendersrio, tintos, share, fall, percent, percent, barbara, lewis, edit, kirsten, donovanour"
"uschina, trade, war, take, toll, global","January 2, 2019","londonhong, kong, factory, activity, weaken, much, europe, asia, uschina, trade, war, slowdown, demand, hit, production, many, economy, offer, little, reason, optimism, beginsa, series, purchasing, manager, index, release, mostly, showed, decline, slowdown, activity, globein, caixinihs, markit, pmi, slip, territory, first, month, broadly, track, official, survey, release, mondaywe, really, see, global, slowdown, asia, country, hurt, irene, cheung, asia, strategist, anzour, central, bank, wont, change, policy, number, come, weak, side, wont, change, zone, activity, barely, expand, end, provide, read, european, central, bank, end, pmi, survey, show, italy, remain, territory, joined, france, data, show, first, operate, condition, growth, germany, spain, modest, ease, weak, factory, however, ramp, prepared, possible, border, delay, britain, leaf, european, union, less, month, timethe, uk, pmi, rise, sixmonth, high, strong, forecast, poll, economist, compiler, ihs, markit, caution, herald, big, change, outlook, britains, stutter, economy, cause, large, part, input, finish, headline, index, rise, sixmonth, high, pmi, still, suggest, sector, stagnate, andrew, wishart, capital, survey, expect, show, activity, tad, slow, still, expand, sign, suffer, trade, friction, unite, statesbut, world, share, start, downbeat, note, oil, price, bond, yield, slide, japanese, yen, factory, survey, data, confirm, picture, global, economic, slowdown, weakness, spill, asian, economy, malaysian, slow, weak, pace, expansion, survey, begin, taiwan, fell, low, meanwhile, official, economic, data, singapore, show, gross, domestic, product, grow, slowly, forecast, fourth, quarter, citystates, contract, quarterly, basiswith, growth, slow, inflation, barely, target, country, asian, central, bank, unlikely, continue, tighten, cycle, bar, shock, currency, graphic, asian, central, bank, policy, world, large, economy, agree, start, truce, follow, titfortat, tariff, disrupt, flow, dollar, good, drag, china, economy, beijing, sustain, drive, reduce, debt, risk, economy, cool, property, market, curb, credit, flow, private, sector, meanwhile, crackdown, pollution, dent, industrial, activityin, key, annual, conference, last, chinas, top, leader, would, boost, support, economy, cut, tax, keep, liquidity, ample, promise, continue, economic, growth, slow, percent, third, quarter, last, weak, global, financial, crisis, report, government, adviser, growth, target, percent, annual, meeting, though, final, figure, wont, make, public, annual, meeting, early, marcha, drop, crudeoil, pricesat, end, last, help, sentiment, asia, economy, trade, deficit, key, pmi, although, still, weak, rise, india, decline, capped, strong, quarter, country, late, malaysia, relies, heavily, oil, revenue, saw, weak, reading, evertaiwan, south, korea, heavily, focussed, tech, production, also, saw, activity, shrink, uschina, trade, war, affect, chip, order, coincides, slowdown, demand, smart, phone, sam, holmes, larry, king, jon, boyleour"
"kurdish, fighter, pull, flashpoint, town, syrias, defence, ministry","January 2, 2019","beirut, convoy, syrian, kurdish, fighter, pull, flashpoint, area, manbij, northern, syria, close, territory, control, turkey, syria, defence, ministry, km, mile, turkish, border, town, occupies, critical, spot, map, syrian, conflict, junction, separate, block, territory, form, sphere, turkish, kurdish, fighter, leave, manbij, far, syrian, defence, ministry, departure, line, agreement, return, normal, life, area, northern, syria, saidthe, ministry, show, online, video, dozen, vehicle, travel, unmade, road, carry, arm, fighter, wave, flag, kurdishled, people, protection, unit, ypg, militia, female, ypjthe, ypg, strong, element, syrian, defence, force, sdf, coalition, militia, united, state, back, campaign, islamic, state, help, capture, swathe, north, east, attack, turkey, pullout, syria, ypg, ask, syrian, government, force, deploy, area, immediate, comment, ypg, sdf, withdrawal, many, fighter, might, remain, regard, ypg, terrorist, group, tie, pkk, border, stag, incursion, syria, support, syrian, rebel, push, turkish, frontieras, result, incursion, force, hold, area, border, manbij, ankara, repeatedly, demand, ypg, leave, area, cross, east, bank, ypg, previously, announce, pulled, force, manbij, fighter, still, area, belong, local, militia, ally, sdfus, force, stability, manbij, islamic, state, defeat, conduct, joint, patrol, turkish, force, effort, allay, ankaras, security, angus, mcdowall, edit, richard"
"hyundai, flag, tough, demand, stay, slow","January 2, 2019","seoul, south, koreas, hyundai, motor, group, flag, another, tepid, car, sale, growth, back, slow, trade, add, major, market, united, state, remain, sluggishin, first, address, employee, group, heir, apparent, euisun, chung, hyundai, motor, kia, motor, corp, would, complete, south, korea, widely, expect, pave, way, formally, succeed, father, head, groupthe, succession, plan, come, hyundai, contend, bunch, problem, cost, market, share, united, state, stall, rise, rank, global, miss, boom, sport, utility, vehicle, suvs, face, potential, tariff, handle, vehicle, recall, lose, ground, advance, global, economy, continue, falter, wall, world, chung, tell, employee, group, face, task, business, major, market, like, enhance, drive, future, kia, together, worlds, automaker, set, call, target, vehicle, sale, percent, increase, vehicle, sell, last, yearitem, employee, hyundai, motor, group, attend, company, ceremony, seoul, south, korea, reuterskim, hyundai, motor, group, attend, company, ceremony, seoul, south, korea, reuterskim, tabthe, sale, fell, short, group, target, vehicle, mark, fourth, annual, sale, goal, miss, duo, sell, vehicle, morgan, stanley, expect, global, auto, production, fall, percent, first, drop, yearsin, group, would, launch, facelifted, model, include, premium, genesis, suv, sonata, launching, model, also, make, difficult, hyundai, increase, share, sluggish, market, europe, sean, kim, analyst, dongbu, share, end, percent, kia, slump, percent, wider, market, hyundai, would, launch, pilot, service, autonomous, taxi, south, korea, expand, lead, player, areahe, also, pledge, actively, apparent, reference, hedge, fund, elliott, management, corp, scuttle, previous, plan, last, hyunjoo, jin, jumin, park, edit, sayantani, ghosh, stephen, coatesour"
"apartment, block, blast, kill, dozen, miss, agency","December 31, 2018","moscow, rescuer, search, people, still, trap, rubble, city, apartment, block, partly, collapse, suspect, gas, blast, kill, least, ria, ministry, tell, agency, people, recover, alive, ninestorey, build, industrial, city, km, mile, east, moscow, southern, uralsnews, agency, tass, people, quote, regional, deputy, governor, oleg, klimovthe, ministry, blast, probably, cause, gas, leak, damage, ripped, build, gmt, many, resident, asleep, public, holiday, several, similar, incident, recent, year, due, age, poor, safety, gas, usagein, least, people, kill, gas, explosion, damage, apartment, building, southern, city, soldatkin, gabrielle, edit, john"
"gas, transit, fall, pct","January 2, 2019","kiev, natural, gas, volume, pip, via, european, consumer, fell, percent, cubic, metre, bcm, gas, transport, monopoly, give, reason, third, russia, gas, export, european, union, cross, gas, giant, gazprom, want, bypass, building, gas, export, via, bcm, bcm, relation, country, annex, crimean, peninsula, halt, import, gas, sign, natalia, zinets, write, pavel, polityuk, edit, edmund, blairour"
"economic, growth, fall, percent, central, bank, magazine","January 2, 2019","beijing, chinas, economic, growth, could, fall, percent, fourth, quarter, company, face, increased, central, bank, magazine, trend, economic, slowdown, still, continue, slow, momentum, increase, fourth, quarter, gdp, growth, possible, low, percent, finance, magazine, publish, people, bank, chinathe, government, step, tax, cut, help, ease, burden, company, especially, small, firm, magazine, saidthe, phenomenon, closure, layoffs, common, employee, income, growth, greatly, restrict, leader, pledge, ratchet, support, economy, cut, tax, keep, ample, liquidity, amid, trade, dispute, united, economic, growth, slow, percent, third, quarter, weak, pace, global, financial, crisis, momentum, likely, come, fourth, quarter, next, official, economy, would, still, hit, official, growth, target, percent, report, kevin, yao, edit, nick, macfieour"
"dubai, crude, average, price, drop, low","January 2, 2019","singapore, dubai, crude, quote, agency, sp, global, platts, average, barrel, low, trader, market, monthly, average, dubai, oman, well, mean, average, oman, dubai, quote, platts, indicate, table, middle, east, producer, set, monthly, official, sell, price, osps, base, average, saudi, aramco, change, benchmark, set, official, selling, price, asia, start, average, platts, dubai, dme, oman, crude, future, average, reference, price, saudi, crude, osps, asia, set, barrel, base, partly, dme, average, crude, change, platts, dubai, platts, oman, platts, omandubai, average, platts, dubaidme, oman, average, reporting, florence, tan, edit, christian, uphereour"
"total, start, production, nigerias, egina, oil, field","January 2, 2019","paris, french, oil, major, total, sa, start, production, egina, deep, oil, field, nigeria, production, expect, plateau, barrel, oil, company, rate, output, represent, percent, nigerias, current, oil, project, expect, boost, total, oil, production, cashflow, onwards, company, inti, landauro, edit, richard, loughour"
